cod_assunt_judici;cod_cjf;cod_cnj_filho;cod_cnj_pai;des_assunt_jf
106015;010615      ;10134;10120;Desapropriação de Imóvel Urbano
106016;010616      ;10135;10120;Requisição de Bem Particular
107000;0107        ;10136;9985;Intervenção no Domínio Econômico
107001;010701      ;10138;10136;Controle de Preços
107002;010702      ;10139;10136;Controle de Abastecimento
107003;010703      ;10140;10136;Importações
107004;01070301    ;10141;10140;Desembaraço Aduaneiro
107006;010704      ;10144;10136;Incentivo
107007;01070401    ;10145;10144;PROAGRO
107008;010705      ;10146;10136;Proteção à Livre Concorrência
107009;01020703    ;10505;10502;Variação Cambial
107010;010707      ;10153;10136;Moeda Estrangeira
107011;02190314    ;10501;9580;Crédito rural
107012;010709      ;10154;10136;Expurgos Inflacionários/Planos Econômicos
107013;01070901    ;10155;10154;Cruzados Novos/Bloqueio
107014;06040101    ;10945;7752;Expurgos inflacionários / Planos econômicos
107015;01070303    ;10142;10140;Regime ou Certificado de Origem MERCOSUL
107016;01070304    ;10143;10140;Veículo de Turista Comunitário MERCOSUL
107017;01070501    ;10147;10146;Venda Casada
107018;01070502    ;10148;10146;Preços Predatórios
107019;01070503    ;10149;10146;Acordo de Exclusividade
107020;01070504    ;10150;10146;Cartel
107021;01070505    ;10151;10146;Atos de Concentração
107022;010710      ;10137;10136;Política de Preço Mínimo
107023;;11871;10136;Agências/órgãos de regulação
108000;0108        ;10157;9985;ORGANIZAÇÃO POLÍTICO-ADMINISTRATIVA/ADMINISTRAÇÃO PÚBLICA
108001;010801      ;10158;10157;FGTS/Fundo de Garantia por Tempo de Serviço
108002;01080101    ;10159;10158;Atualização de Conta
108003;01080102    ;10160;10158;Liberação de Conta
108004;01080103    ;10161;10158;Juros Progressivos
108005;01080104    ;10162;10158;Localização de Contas
108007;010802      ;10163;10157;PIS/PASEP
108008;01080201    ;10164;10163;Atualização de Conta
108009;01080202    ;10165;10163;Liberação de Conta
108010;010803      ;10166;10157;Conselhos Regionais de Fiscalização Profissional e Afins
108012;01080302    ;10168;10166;Multas e demais Sanções
108013;01080303    ;10169;10166;Questões Funcionais
108014;01080304    ;10170;10166;Exame da Ordem (OAB)
108015;01080305    ;10171;10166;Eleições
108017;01080607    ;10179;10174;Liquidação Extrajudicial
108021;01080606    ;10177;10174;Remuneração de Ativos Retidos
108022;010806      ;10174;10157;Instituições Financeiras
108025;01080603    ;10178;10174;Cooperativas de Crédito
108027;010807      ;10180;10157;Fundo de Participação dos Municípios
108028;010808      ;10181;10157;Seguro-desemprego
108029;01080306    ;10172;10166;Anuidades OAB
108030;01080307    ;10173;10166;Exercício Profissional
108031;01080308    ;10167;10166;Registro Profissional
108032;01080605    ;10176;10174;Normatizações
108033;01080608    ;10175;10174;Liberação de Depósitos de Instituição Liquidanda
108034;;55006;10158;CORREÇÃO/ATUALIZAÇÃO INPC/IPCA/OUTRO ÍNDICE
109000;0109        ;10182;9985;Dívida Pública Mobiliária
109001;010901      ;10183;10182;Apólices da Dívida Pública
109002;010902      ;10184;10182;Títulos da Dívida Pública
109003;010903      ;10185;10182;Títulos da Dívida Agrária
109004;01090201    ;;;Títulos Internacionais
110000;0110        ;10186;9985;Agentes Políticos
110001;011001      ;10187;10186; MAGISTRATURA
110002;011002      ;10194;10186;Ministério Público
110003;010410      ;10087;10028;Defensoria Pública
110004;01100101    ;10188;10187;Remuneração
110005;01100102    ;10189;10187;Afastamento
110006;01100103    ;10190;10187;Processo Disciplinar/Sindicância
110007;01100104    ;10191;10187;Aposentadoria
110008;01100105    ;10192;10187;Promoção
110009;01100106    ;10193;10187;Remoção
110010;01100201    ;10195;10194;Remuneração
110011;01100202    ;10196;10194;Afastamento
110012;01100203    ;10197;10194;Processo Disciplinar/Sindicância
110013;01100204    ;10198;10194;Aposentadoria
110014;01100205    ;10199;10194;Promoção
110015;01100206    ;10200;10194;Remoção
110016;011004      ;10201;10186;Prefeito
110017;01100401    ;10202;10201;Afastamento do Cargo
110018;01100402    ;10203;10201;Remuneração
110019;01100403    ;10204;10201;Recondução
110020;01100404    ;10205;10201;Prestação de Contas
110021;01100405    ;10206;10201;Indisponibilidade de Bens
110022;011005      ;10213;10186;Parlamentares
110023;01100501    ;10214;10213;Remuneração
110024;01100502    ;10215;10213;Afastamento do Cargo
110025;01100503    ;10216;10213;Recondução
110026;01100504    ;10217;10213;Prestação de Contas
110027;01100505    ;10218;10213;Indisponibilidade de Bens
110028;0110050101  ;10732;10214;Verba de Representação
110029;;10675;10187;Quinto constitucional
111000;0111        ;10219;9985;Servidor Público Civil
111001;011101      ;10220;10219;Regime Estatutário
111002;01110237    ;10221;10288;Isonomia/Equivalência Salarial
111003;01110102    ;10222;10220;Estabilidade
111004;01110103    ;10223;10220;Enquadramento
111005;01110104    ;10224;10220;Recondução
111006;01110105    ;10225;10220;Acumulação de Cargos
111007;01110106    ;10226;10220;Reintegração
111008;01110107    ;10227;10220;Direito de Greve
111009;01110108    ;10228;10220;Transferência
111010;01110109    ;10229;10220;Remoção
111012;01110111    ;10230;10220;Regime Previdenciário
111013;01110112    ;10231;10220;Anistia Administrativa
111014;011102      ;10288;10219;Sistema Remuneratório e Benefícios
111015;01110201    ;10289;10288;Gratificações da Lei 8112/1990
111016;01110202    ;10290;10288;Gratificação de incentivo
111017;01110203    ;10291;10288;Adicional de Insalubridade
111018;01110204    ;10292;10288;Adicional de Periculosidade
111019;01110205    ;10293;10288;Adicional de Fronteira
111020;01110206    ;10294;10288;Abono Pecuniário (Art 78 Lei 8112/1990)
111021;01110207    ;10295;10288;Gratificação Incorporada/Quintos e Décimos/VPNI
111022;01110208    ;10296;10288;Descontos Indevidos
111023;01110209    ;10297;10288;Teto Salarial
111024;01110210    ;10298;10288;Diárias e Outras Indenizações
111025;01110211    ;10299;10288;Plano de Classificação de Cargos
111026;01110212    ;10300;10288;Data base
111027;01110213    ;10301;10288;Férias
111028;01110214    ;10302;10288;Adicional de Tempo de Serviço
111029;01110215    ;10303;10288;Adicional de horas extras
111030;01110216    ;10304;10288;Auxílio-alimentação
111031;011103      ;10313;10219;Reajuste de Remuneração, Proventos ou Pensão
111032;01110301    ;10314;10313;Índice da URP fev/1989
111033;01110302    ;10315;10313;Índice de 84,32% março/1990
111034;01110303    ;10316;10313;Reajuste de 45% Lei 8237/1991
111035;01110304    ;10317;10313;Índice de 28,86% Lei 8622/1993 e 8627/1993
111036;01110305    ;10318;10313;Índice da URV Lei 8880/1994
111037;01110306    ;10319;10313;Reajuste da Lei 8270/1991)
111038;01110307    ;10320;10313;Índice do IPC junho/1987
111040;011116      ;10250;10219;Pensão
111041;011117      ;10254;10219;Aposentadoria
111044;01110221    ;10243;10288;Complementação de Benefício/Ferro
111047;011118      ;10276;10219;Tempo de Serviço
111048;01110222    ;10244;10288;Assistência à Saúde
111049;011105      ;10279;10219;Processo Administrativo Disciplinar ou Sindicância
111051;01110502    ;10283;10279;Responsabilidade Civil do Servidor Público/Indenização ao Erário
111053;01110       ;10286;10219;Programa de Desligamento Voluntário (PDV)
111055;01110236    ;10323;10288;Inclusão de Dependente
111057;011112      ;10287;10219;Jornada de Trabalho
111058;01110119    ;10238;10220;Estágio Probatório
111059;01111       ;10258;10219;Licenças/Afastamentos
111061;01110217    ;10305;10288;Gratificações de Atividade
111063;01110308    ;10321;10313;Índice de 10,87% / Lei 10192/2001
111064;01110219    ;10306;10288;Auxílio-transporte
111065;01110220    ;10307;10288;Revisão Geral Anual (Mora do Executivo - inciso X, art 37, CF 1988)
111066;01110309    ;10322;10313;Índice de 47,94% Lei n 8676/1993
111067;01110113    ;10232;10220;Reversão
111068;01110114    ;10233;10220;Redistribuição
111069;01110115    ;10234;10220;Disponibilidade/Aproveitamento
111070;01110116    ;10235;10220;Lotação
111071;01110117    ;10236;10220;Promoção/Ascensão
111072;01110118    ;10237;10220;Readaptação
111073;01110120    ;10239;10220;Nomeação
111074;01110121    ;10240;10220;Posse e Exercício
111075;01110122    ;10241;10220;Exoneração
111076;01110223    ;10245;10288;Assistência Pré-Escolar
111077;01110224    ;10246;10288;Auxílio-Natalidade
111078;01110225    ;10247;10288;Auxílio-Reclusão
111079;01110226    ;10248;10288;Auxílio-Funeral
111080;01110227    ;10249;10288;Salário-Família
111081;01110228    ;10308;10288;Adicional de Serviço Noturno
111082;01110229    ;10309;10288;Adicional de Produtividade
111083;01110230    ;10310;10288;Gratificação Natalina/13º Salário
111084;01110231    ;10311;10288;Irredutibilidade de Vencimentos
111085;01110232    ;10312;10288;Piso Salarial
111086;01110233    ;10497;10288;Subsídios
111087;01110503    ;10280;10279;Demissão ou Exoneração
111088;01110504    ;10281;10279;Advertência
111089;01110505    ;10282;10279;Suspensão
111090;01111401    ;10259;10258;Dirigente Sindical
111091;01111402    ;10260;10258;Licença Capacitação (Aperfeiçoamento Profissional)
111092;01111403    ;10261;10258;Licença-Prêmio
111093;01111404    ;10262;10258;Doença em Pessoa da Família
111094;01111405    ;10263;10258;Tratamento da Própria Saúde
111095;01111406    ;10264;10258;Gestante/Adotante/Paternidade
111096;01111407    ;10265;10258;Interesse Particular
111097;01111408    ;10266;10258;Serviço Militar
111098;01111409    ;10267;10258;Atividade Política
111099;01111410    ;10268;10258;Casamento
111100;01111411    ;10269;10258;Luto
111101;01111412    ;10270;10258;Amamentação
111102;01111413    ;10271;10258;Doação de Sangue
111103;01111414    ;10272;10258;Alistamento/Serviço Eleitoral
111104;01111415    ;10273;10258;Acompanhamento de Cônjuge ou Companheiro
111105;01111416    ;10274;10258;Exercício em Outro Município
111106;01111417    ;10275;10258;Licença por Acidente em Serviço
111107;0111160     ;10251;10250;Provisória
111108;01111602    ;10252;10250;Concessão
111109;01111603    ;10253;10250;Restabelecimento
111110;01111701    ;10255;10254;Invalidez Permanente
111111;01111702    ;10256;10254;Compulsória
111112;01111703    ;10257;10254;Voluntária
111113;01111801    ;10277;10276;Averbação/Contagem de Tempo Especial
111114;01111802    ;10278;10276;Averbação/Contagem Recíproca
111115;01110234    ;10662;10288;Abono de Permanência
111116;01110235    ;10638;10288;Acumulação de Proventos
111117;;10946;10313;Correção Monetária de Diferenças Pagas em Atraso
111118;;11858;10288;Recebimento de bolsa de estudos
111119;;10243;10288;COMPLEMENTAÇÃO DE BENEFÍCIO/FER
111120;;10878;10254;ESPECIAL
112000;0112        ;10324;9985;Servidor Público Militar
112001;011201      ;10325;10324;Regime
112002;01120101    ;10326;10325;Ingresso e Concurso
112003;01120102    ;10327;10325;Curso de Formação
112004;01120103    ;10328;10325;Reintegração
112005;01120104    ;10329;10325;Estabilidade
112006;01120105    ;10330;10325;Anistia Política
112007;01120106    ;10331;10325;Adidos, Agregados e Adjuntos
112008;011202      ;10337;10324;Sistema Remuneratório e Benefícios
112009;01120201    ;10338;10337;Gratificações e Adicionais
112011;01120203    ;10339;10337;Férias
112012;011203      ;10342;10324;Reajuste de Remuneração, Soldo, Proventos ou Pensão
112013;01120301    ;10343;10342;Índice de 28,86% LL 8622/1993 e 8627/1993
112015;01120208    ;10349;10337;Reforma
112016;011214      ;10359;10324;Pensão
112017;01120209    ;10350;10337;Licenças
112018;01120210    ;10351;10337;Agregação
112019;01120211    ;10352;10337;Reserva Remunerada
112020;01120212    ;10353;10337;Transferência ex-officio para reserva
112021;01120213    ;10354;10337;Tempo de Serviço
112022;01120214    ;10355;10337;Transferência para reserva
112023;011205      ;10363;10324;Processo Administrativo Disciplinar/Sindicância
112024;01120501    ;10367;10363;Suspensão
112026;01120107    ;10332;10325;Serviço Militar Obrigatório
112027;;;;
112028;01120108    ;10333;10325;Ex-combatentes
112029;01120109    ;10334;10325;Promoção
112030;01120110    ;10335;10325;Serviço Militar dos Profissionais da Saúde
112031;01120111    ;10336;10325;Corpo Feminino
112032;01120205    ;10591;10337;Inclusão de Dependente
112033;01120302    ;10344;10342;Índice da URV Lei 8880/1994
112034;01120303    ;10345;10342;Índice do IPC junho/1987
112035;01120304    ;10346;10342;Índice de 84,32% IPC março/1990
112036;01120305    ;10347;10342;Índice da URP abril e maio/1988 DL 2425/1988
112039;01120206    ;10340;10337;Indenizações Regulares
112040;01120207    ;10341;10337;Isonomia
112041;01120215    ;10356;10337;Assistência Médico-Hospitalar
112042;01120216    ;10357;10337;Licença Prêmio
112043;01120217    ;10358;10337;Licenciamento
112044;01120503    ;10364;10363;Advertência/Repreensão
112045;01120504    ;10365;10363;Impedimento/Detenção/Prisão
112046;01120505    ;10366;10363;Licenciamento/Exclusão
112047;01120506    ;10512;10363;Responsabilidade Civil do Militar - Indenização ao Erário
112048;01121401    ;10360;10359;Concessão
112049;01121402    ;10361;10359;Restabelecimento
112050;01121403    ;10362;10359;Provisória
112051;01120218    ;10596;10337;Auxílio-invalidez
112052;01120219    ;10593;10337;Remuneração mínima
113000;0113        ;10370;9985;Concurso Público/Edital
113001;011301      ;10371;10370;Reserva de Vagas para Deficientes
113002;011302      ;10372;10370;Inscrição/Documentação
113004;011304      ;10373;10370;Limite de Idade
113005;011305      ;10374;10370;Exigência de Prática Forense
113006;011306      ;10375;10370;Prova de Títulos
113008;011308      ;10379;10370;Anulação e Correção de Provas/Questões
113009;011309      ;10377;10370;Curso de Formação
113010;011310      ;10380;10370;Escolaridade
113011;01.13.11... ;10381;10370;Classificação e/ou Preterição
113012;011312      ;10376;10370;Exame de Saúde e/ou Aptidão Física
113013;011313      ;10378;10370;Exame Psicotécnico/Psiquiátrico
113014;011314      ;10382;10370;Anulação
113015;011315      ;10383;10370;Prazo de Validade
113016;011316      ;10384;10370;Condições Especiais para Prestação de Prova
114000;0114        ;10385;9985;Licitações
114006;011409      ;10386;10385;Modalidade/Limite/Dispensa/Inexigibilidade
114007;011410      ;10387;10385;Habilitação/Registro Cadastral/Julgamento/Homologação
114019;011407      ;10390;10385;Sanções Administrativas
114020;011408      ;10391;10385;Recursos Administrativos
114023;011411      ;10388;10385;Edital
114024;011412      ;10389;10385;Revogação
114025;011413      ;10392;10385;Convênio
114026;011414      ;10393;10385;Adjudicação
115000;0115        ;10394;9985;Dívida Ativa não-tributária
115001;011501      ;10395;10394;Multas e demais Sanções
115002;011502      ;10401;10394;Taxa de ocupação/laudêmios/foros
115003;01150101    ;10396;10395;Ambiental
115004;011503      ;10402;10394;Cessão de créditos não-tributário
115005;01150102    ;10397;10395;Sanitárias
115006;01150103    ;10398;10395;Metrológica
115007;01150104    ;10399;10395;Profissional
115008;01150105    ;10400;10395;Segurança e/ou Medicina do Trabalho
116000;0116        ;10403;9985;Organização Sindical
116001;011601      ;10404;10403;Contribuição Sindical
116002;011602      ;10405;10403;Eleições Sindicais
116003;011603      ;10406;10403;Registro Sindical
116004;011604      ;10407;10403;Dilação e Extensão de Base Territorial
116005;011605      ;10408;10403;Filiação
117000;0117        ;10421;9985;Contratos Administrativos
117001;011701      ;10429;10421;Execução Contratual
117002;011702      ;10425;10421;Rescisão
117003;011703      ;10423;10421;Anulação
117004;011704      ;10422;10421;Pagamento Atrasado/Correção Monetária
117005;011705      ;10426;10421;Prorrogação
117006;011706      ;10427;10421;Termo Aditivo
117007;011707      ;10430;10421;Equilíbrio Financeiro
117008;011708      ;10428;10421;Penalidades
117009;011709      ;10424;10421;Suspensão
118000;0118        ;10409;9985;Empregado Público/Temporário
118001;011802      ;10411;10409;Admissão/Permanência/Despedida
119000;011901      ;10418;10417;CNH - Carteira Nacional de Habilitação
119001;011902      ;10419;10417;Liberação de Veículo Apreendido
119002;011903      ;10420;10417;Licenciamento de Veículo
120000;0120        ;10412;9985;Comissão Parlamentar de Inquérito - CPI
120001;012001      ;10413;10412;Quebra de Sigilo Bancário/Fiscal/Telefônico
120002;012002      ;10414;10412;Criação/Instalação/Prosseguimento/Encerramento
120003;012003      ;10415;10412;Limites dos Poderes de Investigação
120004;012004      ;10416;10412;Limites do Objeto
121000;012107      ;10118;10110;Unidade de Conservação da Natureza
121001;012108      ;10119;10110;Gestão de Florestas Públicas
121002;;11828;10110;Área de Preservação Permanente
121003;;11822;10110;Mineração
121004;;11830;10110;Patrimônio Cultural
121005;;11825;10110;Poluição
121006;;11829;10110;Produtos Controlados / Perigosos
121007;;11824;10110;Recursos Hídricos
121008;;11823;10110;Reserva legal
121009;;11862;10110;Saneamento
121010;;11827;10110;Zona Costeira
121011;;11826;10110;Zoneamento Ecológico e Econômico
122000;;10954;9985;Orçamento
122001;;10958;10954;Crédito Suplementar
122002;;10955;10954;Criação de Dotação Orçamentária
122003;;10956;10954;Repasse de Duodécimos
122004;;10957;10954;Repasse de Verbas Públicas
123000;;11803;9985;CONSELHOS
123001;;11833;11803;Conselho da Comunidade
123002;;11835;11803;Conselho de Direitos da Criança e Adolescente
123003;;11832;11803;Conselho do Idoso
123004;;11834;11803;Conselho sobre Drogas
124000;;11831;9985;Controle Externo da atividade policial
125000;;11802;9985;Ordem Urbanística
125001;;11837;11802;Comércio Ambulante
125002;;11838;11802;Operações Urbanas Consorciadas
125003;;11836;11802;Parcelamento do Solo
125004;;11839;11802;Posturas Municipais
125005;;11840;11802;Segurança em Edificações
126000;;11841;9985;Política Agrícola
127000;;11873;9985;Política fundiária e da reforma agrária
128000;;11863;9985;Responsabilidade Fiscal
129000;;11872;9985;Sistema de proteção especial a vítimas e a testemunhas
199001;10          ;1146;;Direito Marítimo
199002;1001        ;5603;1146;Inscrição/Registro da Embarcação
199003;1002        ;5585;1146;Registro/Cadastro do Armador
199004;1003        ;7783;1146;Responsabilidade Contratual
199005;100301      ;5196;7783;Aluguel de Embarcações (Fretamento e Carta Partida)
199006;100302      ;5612;7783;Créditos/Privilégios Marítimos
199007;100303      ;5193;7783;Engajamento e Profissionais Marítimos
199008;100304      ;5609;7783;Hipoteca Marítima
199009;100305      ;7798;7783;Quanto à Carga
199010;100306      ;7797;7783;Quanto à Embarcação
199011;100307      ;5194;7783;Seguros Marítimos
199012;1004        ;5595;1146;Responsabilidade do Comandante ou Capitão
199013;1005        ;7784;1146;Responsabilidade Extracontratual
199014;100501      ;5575;7784;Abandono
199015;100502      ;5577;7784;Acidentes da Navegação
199016;100503      ;5589;7784;Arresto de Embarcação
199017;100504      ;5591;7784;Assistência/Salvamento
199018;100505      ;5592;7784;Avaria
199019;100506      ;7799;7784;Clandestinos
199020;1006        ;5621;1146;Serviços Auxiliares da Navegação
199021;100601      ;5622;5621;Agenciamento
199022;100602      ;5623;5621;Corretagem de Embarcação
199023;100603      ;5624;5621;Praticagem
199024;1007        ;;;Responsabilidade do Fornecedor
199025;11          ;6191;;Direito Internacional
199026;1101        ;6219;6191;Contratos internacionais
199027;1102        ;6203;6191;Cooperação internacional
199028;110201      ;6206;6203;Auxílio direto
199029;110202      ;6207;6203;MERCOSUL
